-5.384720, -0.843028, -0.230251, 0.403317, -2.380464, -1.030159
-5.384236, -0.845884, -0.231487, 0.404889, -2.380218, -1.030092
-5.383750, -0.848741, -0.232724, 0.406460, -2.379971, -1.030024
-5.383262, -0.851597, -0.233960, 0.408031, -2.379723, -1.029957
-5.382773, -0.854452, -0.235196, 0.409602, -2.379475, -1.029888
-5.382281, -0.857308, -0.236431, 0.411172, -2.379226, -1.029820
-5.381788, -0.860163, -0.237667, 0.412743, -2.378975, -1.029751
-5.381292, -0.863018, -0.238903, 0.414313, -2.378724, -1.029681
-5.380795, -0.865872, -0.240139, 0.415884, -2.378473, -1.029612
-5.380296, -0.868726, -0.241374, 0.417454, -2.378220, -1.029542
-5.379795, -0.871580, -0.242610, 0.419024, -2.377966, -1.029471
-5.379292, -0.874434, -0.243845, 0.420593, -2.377712, -1.029400
-5.378788, -0.877287, -0.245080, 0.422163, -2.377457, -1.029329
-5.378281, -0.880140, -0.246315, 0.423733, -2.377201, -1.029258
-5.377773, -0.882992, -0.247550, 0.425302, -2.376944, -1.029186
-5.377262, -0.885845, -0.248785, 0.426871, -2.376687, -1.029114
-5.376750, -0.888697, -0.250020, 0.428440, -2.376428, -1.029041
-5.376236, -0.891548, -0.251255, 0.430009, -2.376169, -1.028968
-5.375720, -0.894400, -0.252490, 0.431577, -2.375909, -1.028895
-5.375202, -0.897251, -0.253725, 0.433146, -2.375648, -1.028821
-5.374682, -0.900102, -0.254959, 0.434714, -2.375386, -1.028747
-5.374161, -0.902952, -0.256194, 0.436282, -2.375123, -1.028673
-5.373637, -0.905802, -0.257428, 0.437850, -2.374860, -1.028598
-5.373112, -0.908652, -0.258663, 0.439418, -2.374596, -1.028523
-5.372584, -0.911502, -0.259897, 0.440986, -2.374330, -1.028447
-5.372055, -0.914351, -0.261131, 0.442553, -2.374064, -1.028371
-5.371524, -0.917200, -0.262365, 0.444121, -2.373798, -1.028295
-5.370991, -0.920048, -0.263599, 0.445688, -2.373530, -1.028219
-5.370456, -0.922897, -0.264833, 0.447255, -2.373262, -1.028142
-5.369920, -0.925745, -0.266067, 0.448822, -2.372992, -1.028065
